,account_uuid,premium
0,0007250d-1fa22-3ea7-f8d9a-2ab585d136,3220.0
1,000f36a0-70dec-6b10-04a24-d07bcbe4ed,1066.0
2,00143506-a4ba9-6d4d-558b4-28e36e9ee4,9967.08
3,001d5526-eedf-49c9-904a-c4297022c4c5,621.0
4,002d4d12-184f-4e8c-8c79-851ec406c568,516.0
5,00301b58-7a0c-4532-9492-2a72c06080c8,673.0
6,0069a3f8-e2059-5bb3-53d52-bc25abbcef,3631.0
7,00901339-158e3-45ae-ed112-84c058bc69,950.0
8,00c3d12b-74a9-46eb-8cca-fecb2c030502,7275.0
9,00ce7eb2-ab794-03f6-fd09a-c38c9563a1,500.0
10,012cb806-080c-4361-8864-2df8ba6728f2,350.0
11,014e1180-fd54f-55a8-01596-3fcc30e3f3,4097.0
12,0150c412-a37c1-1e20-4b651-2ca1926d39,2967.0
13,0156050c-4ea1-40fd-b857-9d05a88d9c78,550.0
14,017bc83e-5a74-47a9-84ad-7a16ddb84c95,2856.94
15,017cca83-56995-35e2-b958a-9bae577da6,555.0
16,01b9bd1b-77b2e-8c8e-06bb9-366f5b5aa2,1221.0
17,01bd3fed-e9ce2-ae3c-ff261-d2c9615edb,6050.7
18,01bfcfe5-7209e-28ae-39e02-927977760c,645.0
19,01cd3200-bd78-42d7-bd12-c4286e3c7df6,6111.0
20,01cfee8b-85ee-49dd-bbed-b23588d3b598,500.0
21,01d30334-d96ef-010c-da905-47a6939050,1139.0
22,01e46e72-df9f-426d-8980-ac252f3bb7c8,995.0
23,020813bb-3b5c4-cafb-f7d8d-931c9d6bbc,1140.5
24,0225b62a-bb70d-5d84-ad0b0-fe6928843f,2561.0
25,02306ba6-0e099-2f6a-2d5e5-0bd1d85a0c,1678.58
26,0244026b-7c4ad-3e74-9fa96-4519d51524,1866.0
27,026f2fe7-628cc-018f-75bcd-b8eea20158,6174.0
28,028c9da1-e4785-211e-fa9f8-8fe8c3bd55,2297.0
29,028f8829-0009a-8cf9-3ce81-daf91ad7bc,1982.05
30,032bf67c-892ad-8942-1f2ff-d4bd1c754b,800.0
31,034ebd90-3b87a-b9ae-33cf1-c03a2e00e0,475.0
32,037811f0-94a81-93b3-b0ba4-37cd6d4f41,1783.0
33,0380d881-c9cc2-1c08-6ce61-6c0735ebb4,2359.0
34,03861585-21049-ff84-4ec43-6225bd2971,13400.0
35,03923c19-87088-02f7-ec992-f197665554,1258.0
36,039d1c7c-6c5ff-a2a5-23ef0-707c96d34f,1862.0
37,03bf8877-9e4a6-5460-ccffe-ddc302ffad,913.0
38,03c01096-f5c8-4cc4-b915-aa3bc0b2b456,2942.48
39,041eec81-3b8de-e6f4-a07f2-800006c6b8,1318.0
40,04399d14-377b0-3018-8d799-349d20eab2,4841.0
41,04632de9-28d3-4484-b2a8-3f1dc666b517,557.0
42,04714052-ee957-b092-9db75-de048d6ed2,500.0
43,0484a0e0-3c35e-0d2a-14c01-0220295202,326.0
44,04a41c87-9713-4b20-b542-0cae0ed666d0,576.0
45,04bf26fa-c5940-b46e-4f29b-78c4e58c63,502.75
46,04bf6380-48bd9-565a-0446e-fc9e866b32,1000.0
47,04e87d4f-76119-b412-57410-ec8d7152af,3748.0
48,0528c8b3-0373d-2c51-d1cf0-19577c927a,1889.0
49,0537d750-1685b-1609-83b46-23f09d7faf,692.0
50,054abed4-aaa7-4758-908c-5fe3d1bb7019,250.0
51,05a4a707-06ef-4081-8fd4-93228f959f7f,418.0
52,05a73034-1a328-8cb2-28aa4-1bc4f06c9e,1257.0
53,05ddebd0-d84f-441f-8e52-621276d92338,1221.0
54,05ee6fae-4cef-4115-acda-f6935bb72470,1313.25
55,06022351-5889-46c2-aec7-0a0429390565,400.0
56,060ea1bf-960d-405a-85f9-e7e56b8c5442,18434.0
57,06270282-3c4a0-594c-89cb8-4b61a1e188,3393.0
58,0660d6f3-c776-4ea7-b498-c4d550e74922,1311.0
59,066961fe-d70a0-9171-bb731-f1c149ec2a,736.0
60,068abcb2-ae3a-466b-b631-5ff12a815360,500.0
61,06ab84a3-55440-1107-50cbe-15559d2118,1333.12
62,06b46cb1-e9dd2-2b88-e40d9-a623b98a5b,475.0
63,06d4da7d-5fa6-406a-9ee1-9b52255e186d,565.0
64,06ed8fef-380a-40db-a6b5-473f637e456a,350.0
65,06f88b64-d119-4fda-bd0d-c6183d5b0083,1018.0
66,0702a194-83ad4-e464-0751b-d3fe59f8a6,916.0
67,074a0184-85f9c-05d0-c08cd-333c083ea8,697.0
68,0774a7c4-b8e94-3518-06b63-2e2fdbaada,2386.0
69,077657af-2b701-ecc3-1c1d5-4cbe8d8a85,1115.0
70,077b1b6c-8670-4010-a8bc-f69abf00fdb9,2171.88
71,0794d67d-2b8a0-15d3-7a302-764a29f023,923.0
72,07c00d10-36248-401c-51190-600497c1ce,3099.0
73,07c85b6c-1d8a7-0367-0cf9d-be4be60cc4,900.0
74,082809b4-9d6c-4839-ab8c-9f4306bf1f8d,686.0
75,08330c98-fd8d5-ed7c-b1453-01875fa237,20670.0
76,0834feaa-72cb8-d9c0-a32f9-88fa757785,542.0
77,0837206b-7e6b-4d45-9c65-f04ce5356148,2705.0
78,08486c38-26f33-a833-1a786-de35088783,820.0
79,08d406c1-eb741-25a0-6b4f0-d4c2c67c10,2689.0
80,08e65b3b-ad681-c04b-2e78e-8332b243e2,2404.8900000000003
81,08ec2c90-b3037-3f8e-429af-f834f19937,500.0
82,08efcd9e-9fd7-4ecd-ab08-2b03cbae34e1,636.0
83,08f3ad49-209f-488c-bdc5-c4111a5979da,1096.0
84,08f70d79-4f0ae-ef74-36271-e0e7f8dcaa,990.0
85,09163f49-8604f-4cb8-24e57-f3a4105858,848.0
86,0948a09a-d4139-7b99-cf75d-2fcc9e57c1,1087.0
87,095af599-7f04a-b45f-bf81e-ca49c6b5c8,500.0
88,0960460e-8c03-4c27-8fcd-6f7699ee30ca,1366.0
89,0964ac6c-07de9-55d2-81e48-b562fc9ff7,347.0
90,097d7c31-3ecbb-2d06-93780-c1bf43866f,3710.0
91,09934355-28db-4893-b8f0-8ec78999e952,3781.0
92,09b4b1cf-67dea-ebfb-25ea9-21bb14c0a7,586.0
93,09e8c83b-1c55-4670-ac41-6a635b9183d6,4318.0
94,09ec9577-eb2f3-0dc8-24179-5bbc359b2a,4564.0
95,0a40faae-098c5-631c-e33b9-b848659c67,1482.0
96,0a44fa01-5bc0f-c11c-2fbd3-32790b6cd2,850.0
97,0a4afa37-ca346-dae2-e79ee-27d3d4d68d,350.0
98,0a5bbf36-0b82d-4192-45c3b-c02e5710d2,2245.0
99,0a62763c-22706-9803-f95d2-4db28f8916,372.0
100,0ad989c0-040b7-43aa-0b5a2-e10e64eeb1,1933.18
101,0aebdd24-ecb6b-3c8a-0a11b-5b3da711c9,500.0
102,0b1e3941-9179e-c997-0d835-deca69215c,893.0
103,0b304655-4246-4936-8de5-c68e9018608c,176.0
104,0b4a7a1f-c19b-4f44-bdc6-027360334490,1150.0
105,0b524b47-66fd6-bf26-283be-f34ccedfe1,483.55
106,0b5b24b5-e4bf-4aff-8eca-5fe09eb615fa,6107.25
107,0b819d30-3f97d-a6cc-66903-a1df071155,550.0
108,0bbbd443-c4ca4-cd72-87dcc-41726de9f2,507.0
109,0bc3a69a-ae3b1-1c4d-5e0e5-83e4cbfefd,883.0
110,0bf55211-a10c-46b3-a8f8-9990e450998b,500.0
111,0c1e867d-4a721-fe74-534f2-094fa4f7cd,931.0
112,0c2357fa-e613-4104-b9ba-11d60fbf41ff,2176.0
113,0c3f6127-e46bf-f8e3-e1b50-1e65278828,350.0
114,0c57feed-2fa68-3051-39fa2-6c9c7820c7,673.0
115,0c58eb07-8a2a-4fc3-b7b9-ee56eec3cc7f,551.0
116,0c821f58-bd4ae-70f4-bdd6a-b99857cd70,1397.0
117,0c8f8c97-661a8-10fa-f55ff-4fa4290d66,503.0
118,0c9d1407-607c-4e02-bb8c-2ec0a6894f46,846.0
119,0cc14b5a-a2705-613f-dc1ce-7001003315,1666.33
120,0cd177af-1539-4af8-a4d4-fc5764f58d99,13291.0
121,0cd713c3-d47d-4fe4-bdb5-8282b203ad3b,629.0
122,0cd90ce9-fe00-4fa6-ad14-382fd59e28a5,406.0
123,0ce2845c-158d-4dab-a2e9-952b7f19eb11,1154.42
124,0cee6dea-694bd-62e3-1d03a-89b559acfc,565.0
125,0d15306c-9315d-e187-482ad-aeca5097fb,1652.0
126,0d18700c-080f-43df-bbcf-2ac66c607434,519.0
127,0d578a93-fd73-48ac-8f15-b0c094a61307,381.0
128,0d9c9cdd-b20b3-0742-75c04-38eff280e0,695.71
129,0dccb8f0-0f7d6-88ec-f01f3-9bc55579de,6259.0
130,0df56687-06ee-4f1a-8ddb-cfd3efc66f0b,521.0
131,0e183199-af593-8fec-cb0d7-0daad6aa98,1000.0
132,0e51e00d-9d64-4161-82ff-3f7edb1e85e8,32628.160000000003
133,0e5da769-0524-405e-80f2-6521c43a9388,495.0
134,0e6e33d4-5cba0-17e7-dfed3-e3b2e0b826,3935.26
135,0eaa1bbe-27ba8-c9cd-dcbb1-a9fb0a9e8c,350.0
136,0ebfcd4b-165e2-a35a-7b680-1bfda2f1b2,2312.0
137,0ec232ed-1683-4586-b7cc-edf93eb14ab3,1530.0
138,0ef8013c-f8626-a9a0-96c3c-0981e95f32,14043.0
139,0f2af202-62a4-4d50-8503-64dd65c167ac,4027.0
140,0f7b3ee9-6215-4dc3-8bb8-d06ab9a381c4,6241.69
141,0f9d296b-ebcd-4fd7-8889-b3dae317c59d,10410.54
142,0fcb9315-c07e-497f-90e3-b3dcb4db193f,550.0
143,0fd82b35-309ba-bd4d-bff9a-f09fcc46aa,1716.0
144,0ff8953c-71dd-4d0e-83d3-d709edfa6456,1669.6
145,1018b9f6-0f8d-4ff3-acc5-7e4cbb7ea412,2667.0
146,10527559-74de0-97a2-9beb0-103c52ea1b,1311.89
147,10605735-c80e4-7b20-23193-6e2d632cda,850.0
148,106f2b52-503fb-0f9b-f2144-65f4e5a87b,2885.0
149,107ff88e-4e99d-6e68-c1538-9e7dbeaa75,2215.96
150,10c05071-2d28e-e72c-a3dda-08c3d87489,3806.0
151,10fac65d-94ed-43c2-a78e-57153a8ee59a,1272.5
152,115b7f81-3b740-4668-6939a-a1007309b9,1282.0
153,116ecfd6-d99b-4d3e-bddc-41d22ea2164a,29402.0
154,11760231-a0abf-0046-c23b4-97fa594aa2,17210.0
155,11b0fd38-8ec50-c9c2-6cace-1f28ab466a,4407.11
156,11b5968e-78f94-82f9-61d22-468303460c,779.52
157,11d0d305-7f1f-483d-a713-ce65dece90b6,357.0
158,11d1c2fa-a9f7e-c0bb-f9505-698f136105,3182.0
159,11f4cc84-cac6e-b13a-71d0a-bb9d192329,2929.0
160,1206cb91-a372d-0abe-c2145-83b8bdfb82,3596.0
161,1207c1c8-f60b-4866-8a07-1a150e972f1c,4794.0
162,12096bd9-2bde1-bde1-89b1f-52946e8d11,924.84
163,1266449a-f47c9-0002-20599-847c850566,500.0
164,128146d7-d6eb-4537-812a-ffbf2d68b1ed,744.0
165,12ad8f50-825e9-4745-c0f33-96cfa0b1ae,1928.0
166,12c469e9-e44b5-25fc-bd4a4-2a0869719e,475.0
167,12dc236b-1ffa3-cf1c-1de8a-106a43a5e9,532.0
168,12e32f55-bf8bc-152e-c4d32-21ac114868,542.0
169,12e74b9f-0022c-3e51-b64ee-fb3bd2ce2a,980.16
170,1300c30f-17a41-0c32-978ef-b337be7a97,1138.0
171,1312a62f-97de7-cb50-01213-7427597f08,375.0
172,13612c9a-262c6-f12e-24400-63ede9e0b5,1737.0
173,136599c4-80fd0-6cc5-0bffe-c0ffeaa639,350.0
174,136c3529-ee794-4762-f1df0-442031ace1,1737.0
175,13967f8f-6a91-4fca-bde4-50691598d016,850.0
176,13b0b39f-675bd-456c-19764-5277934376,2547.0
177,13dda659-d1860-0947-c1539-2b544eda1c,2420.0
178,13def964-50554-ea15-cd925-fa0cf0751f,995.0
179,13ef5345-dbe9-4207-beb5-ecc590662b06,921.0
180,141d1fda-4d710-a5e0-7b090-e5f76d7bb5,3272.0
181,143d81ed-c54d0-9375-37a01-fea083d07b,1213.0
182,144765a0-e066d-9394-6457e-d21d2ae35e,1155.0
183,145018eb-2b0f-441b-a8ea-99c800059e51,1675.0
184,14546d33-d32b-4103-bdb2-501b587d192d,400.0
185,14925689-6440-4fea-85bc-2e171f18be10,772.49
186,149c9540-7d374-329f-a6a9b-e803acb150,911.0
187,14a4b644-740b-454e-8872-3460fda39092,400.0
188,14cfe0f0-02264-b67a-3e3a1-4e6a441662,501.0
189,14d3ceb9-5c84-483e-9441-97c789903398,3587.5
190,14e9c9ca-3d56-4db0-8dd1-b97b4e9aca46,2902.0
191,14ef547f-7486c-898c-f9a19-bdb3493c57,525.0
192,15493cc2-e3df-4ad9-99f8-32db91b4c06f,995.0
193,1566cedf-504f-4dbf-bee7-ed6a6af84560,8623.51
194,15b8ca11-62635-10b4-d4c91-2da57b591f,2477.0
195,15d5124d-ce46-4067-8829-1877cf48b6b1,2299.0
196,15d8545a-577cd-9422-e274d-a8c21c5479,21884.0
197,160f7f44-f385b-653c-11187-7b7aa35f1a,2121.95
198,160f8f72-4562f-b8ab-f24ba-5fa3cc06fe,2353.0
199,1619c1f7-75c38-bd9b-0abb6-dfffe10632,1664.0
200,164f7291-bf97-47a9-8394-3c42891e3bbf,351.0
201,1655c2a2-a8e8-4bb5-9f0b-fbe145e722d3,1151.0
202,16866968-fbbf-417d-9ad4-3ef8e0f89076,1843.0
203,16c6a756-accf-4b03-890f-24057d09e61b,886.0
204,16d3891b-9a99f-83f7-5dbb9-3970cc80d4,2875.38
205,16e52ca6-335f8-c495-197f9-e530e812f4,1591.0
206,172f8593-e895d-2006-223ef-8763d50f02,554.0
207,1732bdc0-9c599-82ff-69d45-7ae4ea468d,2125.0
208,173a15ad-e665-4e52-b5b9-ca2df4fb22b8,1500.0
209,1757dfd6-7ac56-05d6-71838-aa761fca33,1866.0
210,1762122a-12321-5152-99ef1-31c0fb8a90,500.0
211,176aba9d-c1182-cd4b-17093-2d1ffbcfe0,3263.0
212,178accae-6ca8-4509-94dd-4792b48cecf3,1210.0
213,17ac7f99-918a5-b239-849aa-6c0a822679,1150.12
